<http://www.wikidata.org/entity/Q112412>,"""DOID:0080100""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q118418>,"""DOID:10939""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q119280>,"""DOID:12713""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q133780>,"""DOID:3482""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q145790>,"""DOID:9383""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q147270>,"""DOID:0050795""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q156103>,"""DOID:2326""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q161964>,"""DOID:14400""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q167178>,"""DOID:8295""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q168403>,"""DOID:11830""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q170082>,"""DOID:2468""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q174857>,"""DOID:0060249""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q178194>,"""DOID:1485""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q185034>,"""DOID:10923""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q187255>,"""DOID:7148""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q188605>,"""DOID:9675""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q188638>,"""DOID:3324""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q193894>,"""DOID:11335""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q201299>,"""DOID:285""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q202173>,"""DOID:9909""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q203031>,"""DOID:0060340""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q208562>,"""DOID:14323""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q212961>,"""DOID:1793""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q217519>,"""DOID:10773""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q220188>,"""DOID:4952""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q246002>,"""DOID:0050770""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q246070>,"""DOID:2634""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q259626>,"""DOID:13564""^^<http://www.w3.org/2001/XMLSchema#string>"
<http://www.wikidata.org/entity/Q266421>,"""DOID:0060713""^^<http://www.w3.org/2001/XMLSchema#string>"
